path,area,evidence,currentReachability,packageStatus,recommendation,nextAction
.DS_Store,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/agent_worklogs.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/ai.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/ai.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/ai.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/analysis_center.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/analysis_center.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/analysis_context.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/analysis_context.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/answer_layer.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/answer_layer.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/badge_engine.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/badge_engine.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/badge_engine.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/client_profile.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/client_profile.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/client_profile.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_access.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_access.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_artifacts.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_artifacts.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_ingest.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_ingest.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_kernel.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_kernel.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_operational_status.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_operational_status.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_prep.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_prep.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_profiler.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_profiler.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_proposal.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_proposal.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_quality.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_quality.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_rollback_drill.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_rollback_drill.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_schema.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_schema.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_search.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_search.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_shadow.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_shadow.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_sync.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/data_center_sync.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/department_catalog.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/department_catalog.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/department_catalog.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/diagnosis_engines.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/diagnosis_engines.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/diagnosis_engines.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/digital_asset_center.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/digital_asset_center.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/digital_asset_narrative.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/digital_asset_narrative.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/embedding_provider.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/embedding_provider.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/event_line_timeline.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/event_line_timeline.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/evidence_quality_feedback_snapshot.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/evidence_quality_feedback_snapshot.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/evidence_quality_feedback.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/evidence_quality_feedback.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/evidence_quality_store.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/evidence_quality_store.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/evidence_quality.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/evidence_quality.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/evidence_selector.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/evidence_selector.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/execution_retry_metrics.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/execution_retry_metrics.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/experience_story_engine.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/experience_story_engine.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/external_evidence.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/external_evidence.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/feishu_sync.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/feishu_sync.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/feishu.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/feishu.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/feishu.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/generation_runtime_policy.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/generation_runtime_policy.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/growth_engine.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/growth_engine.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/growth_engine.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/internet_crawler.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/internet_crawler.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/kernel_primary_rollout.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/kernel_primary_rollout.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/knowledge_base.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/knowledge_base.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/knowledge_base.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/knowledge_v2.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/knowledge_v2.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/knowledge_v2.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/learning_presets.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/learning_presets.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/link_material_import.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/link_material_import.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/local_memory.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/local_memory.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/local_semantic_router.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/local_semantic_router.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/meeting_context.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/meeting_context.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/meeting_followup.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/meeting_followup.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/memory_foundation.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/memory_foundation.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/memory_foundation.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/organization_dna_v2.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/organization_dna_v2.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/platform_dna.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/platform_dna.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/platform_dna.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/proposal_approval.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/proposal_approval.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/proposal_execution.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/proposal_execution.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/query_router.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/query_router.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/question_focus.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/question_focus.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/rerank_provider.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/rerank_provider.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/retrieval_model_settings.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/retrieval_model_settings.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/retrieval_shadow.cpython-311.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/retrieval_shadow.cpython-312.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
backend/app/services/__pycache__/review_analysis.cpython-310.pyc,packaging,local/generated file pattern,local/generated artifact,should be excluded,exclude_from_package,keep locally; verify package guard
src/renderer/components/handbook/GrowthHandbookView.tsx,frontend,no direct basename references in renderer/shared scan,no direct refs found,source code,delete_candidate,manual product + import review before any deletion
src/renderer/components/settings/DataCenterProposalInboxPanel.tsx,frontend,no direct basename references in renderer/shared scan,no direct refs found,source code,delete_candidate,manual product + import review before any deletion
src/renderer/components/settings/FeishuAccountBindingPanel.tsx,frontend,no direct basename references in renderer/shared scan,no direct refs found,source code,delete_candidate,manual product + import review before any deletion
src/renderer/components/settings/FeishuBotSettingsPanel.tsx,frontend,no direct basename references in renderer/shared scan,no direct refs found,source code,delete_candidate,manual product + import review before any deletion
src/renderer/components/settings/OrganizationTreeCanvas.tsx,frontend,no direct basename references in renderer/shared scan,no direct refs found,source code,delete_candidate,manual product + import review before any deletion
src/renderer/components/settings/UpdateSettingsPanel.tsx,frontend,no direct basename references in renderer/shared scan,no direct refs found,source code,delete_candidate,manual product + import review before any deletion
src/renderer/components/tasks/AgentExecutionPanel.tsx,frontend,no direct basename references in renderer/shared scan,no direct refs found,source code,delete_candidate,manual product + import review before any deletion
src/renderer/components/tasks/AgentSimulationCalendarView.tsx,frontend,deprecated/simulation/legacy naming,refs=6,source code,needs_product_review,manual product + import review before any deletion
src/renderer/components/tasks/AgentWeeklyDigestPanel.tsx,frontend,no direct basename references in renderer/shared scan,no direct refs found,source code,delete_candidate,manual product + import review before any deletion
src/renderer/components/tasks/AgentWeeklyPlanPanel.tsx,frontend,no direct basename references in renderer/shared scan,no direct refs found,source code,delete_candidate,manual product + import review before any deletion
src/renderer/components/tasks/ReviewHistoryPicker.tsx,frontend,no direct basename references in renderer/shared scan,no direct refs found,source code,delete_candidate,manual product + import review before any deletion
src/renderer/components/tasks/ReviewMetricGrid.tsx,frontend,no direct basename references in renderer/shared scan,no direct refs found,source code,delete_candidate,manual product + import review before any deletion
backend/app/services/review_simulation.py,backend,deprecated/simulation/legacy naming,refs=9,source code,needs_product_review,manual API/import/test review before any deletion
backend/app/services/workspace_action_perspective.py,backend,no direct basename references in backend/src scan,no direct refs found,source code,delete_candidate,manual API/import/test review before any deletion
backend/scripts/bettafish_bridge.py,backend,script entrypoint requires explicit owner review,no direct refs found,source code,needs_product_review,confirm owner and invocation path before any deletion
backend/scripts/install_bettafish_source.py,backend,script entrypoint requires explicit owner review,no direct refs found,source code,needs_product_review,confirm owner and invocation path before any deletion
backend/scripts/probe_diagnosis_engines.py,backend,no direct basename references in backend/src scan,no direct refs found,source code,needs_product_review,manual API/import/test review before any deletion
cloud_backend/app/simulation_seed.py,cloud_backend,deprecated/simulation/legacy naming,refs=4,source code,needs_product_review,manual API/import/test review before any deletion
cloud_backend/app/task_pressure_seed.py,cloud_backend,deprecated/simulation/legacy naming,refs=1,source code,needs_product_review,manual API/import/test review before any deletion
scripts/audit_growth_badge_scope.py,script,script entrypoint requires explicit owner review,no direct refs found,source code,needs_product_review,confirm owner and invocation path before any deletion
scripts/cleanup_audit_data.py,script,script entrypoint requires explicit owner review,no direct refs found,source code,needs_product_review,confirm owner and invocation path before any deletion
scripts/generate-mac-icon.py,script,script entrypoint requires explicit owner review,no direct refs found,source code,needs_product_review,confirm owner and invocation path before any deletion
scripts/rebucket_workspace_folders.py,script,script entrypoint requires explicit owner review,no direct refs found,source code,needs_product_review,confirm owner and invocation path before any deletion
scripts/repair_orphan_data_center_ingest.py,script,script entrypoint requires explicit owner review,no direct refs found,source code,needs_product_review,confirm owner and invocation path before any deletion
scripts/smoke_workspace_chat_async.py,script,no direct basename references in backend/src scan,no direct refs found,source code,needs_product_review,manual API/import/test review before any deletion
scripts/smoke_workspace_chat_generation.py,script,deprecated/simulation/legacy naming,refs=1,source code,needs_product_review,manual API/import/test review before any deletion
scripts/sync-local-event-lines-to-cloud.py,script,script entrypoint requires explicit owner review,no direct refs found,source code,needs_product_review,confirm owner and invocation path before any deletion
